acs_occ_code,n_soc6_mapped,acs_occ_title,soc_major,soc_major_nunique,llm_exposure_main,llm_exposure_model_robustness,complementarity_theta,complementarity_no_jobzone,m_index,m_no_jobzone,m_average_of_detail_products,m_no_jobzone_average_of_detail_products,annual_mean_wage,annual_median_wage,mapping_rows,llm_exposure_main_oews_weighted,complementarity_theta_oews_weighted,complementarity_no_jobzone_oews_weighted,m_index_oews_weighted,m_no_jobzone_oews_weighted
8465,3,"Other textile, apparel, and furnishings workers",51,1,0.13685344827586204,0.26885775862068967,0.5615277777777778,0.5738333333333334,0.07661488266283524,0.07723958333333333,0.07661488266283524,0.07723958333333333,52335.0,48100.0,2.0,0.10510398769329121,0.5644009913737608,0.5898188489764389,0.05917988780450446,0.061208357473928145
850,1,Personal financial advisors,13,1,0.6710526315789473,0.5,0.5561805555555555,0.5074166666666666,0.3732264254385964,0.3405032894736842,0.3732264254385964,0.3405032894736842,119960.0,94170.0,1.0,0.6710526315789473,0.5561805555555555,0.5074166666666666,0.3732264254385964,0.3405032894736842
8500,1,Cabinetmakers and bench carpenters,51,1,0.0441176470588235,0.1176470588235294,0.5039583333333334,0.52475,0.02223345588235293,0.02315073529411763,0.02223345588235293,0.02315073529411763,40070.0,37540.0,1.0,0.0441176470588235,0.5039583333333334,0.52475,0.02223345588235293,0.02315073529411763
8510,1,Furniture finishers,51,1,0.0714285714285714,0.0285714285714285,0.510625,0.53275,0.03647321428571427,0.03805357142857141,0.03647321428571427,0.03805357142857141,37310.0,36580.0,1.0,0.0714285714285714,0.510625,0.53275,0.03647321428571427,0.03805357142857141
8530,1,"Sawing machine setters, operators, and tenders, wood",51,1,0.0147058823529411,0.0588235294117647,0.533611111111111,0.5603333333333332,0.00784722222222218,0.008240196078431329,0.00784722222222218,0.008240196078431329,35280.0,35340.0,1.0,0.0147058823529411,0.533611111111111,0.5603333333333332,0.00784722222222218,0.008240196078431329
8540,1,"Woodworking machine setters, operators, and tenders, except sawing",51,1,0.0326086956521739,0.0652173913043478,0.529236111111111,0.5550833333333333,0.017257699275362307,0.018100543478260858,0.017257699275362307,0.018100543478260858,35560.0,36090.0,1.0,0.0326086956521739,0.529236111111111,0.5550833333333333,0.017257699275362307,0.018100543478260858
8555,3,Other woodworkers,51,1,0.2179487179487179,0.2051282051282051,0.6029513888888889,0.6035416666666666,0.13222044159544155,0.1325106837606837,0.13222044159544155,0.1325106837606837,55530.0,53850.0,2.0,0.20279720279720276,0.5999722222222222,0.5999666666666666,0.12243550893550892,0.12258694638694635
860,1,Insurance underwriters,13,1,0.5,0.5714285714285714,0.5347222222222222,0.48166666666666663,0.2673611111111111,0.24083333333333332,0.2673611111111111,0.24083333333333332,79940.0,76390.0,1.0,0.5,0.5347222222222222,0.48166666666666663,0.2673611111111111,0.24083333333333332
8600,3,"Power plant operators, distributors, and dispatchers",51,1,0.15422030765168016,0.2828035254505843,0.6558333333333334,0.6758888888888889,0.1021894660337947,0.10493380056006686,0.10208452271902024,0.10488097436786159,96826.66666666667,94546.66666666667,3.0,0.1300092017200131,0.6485761650808267,0.67606917587477,0.08530977934871872,0.08839638748749058
8610,1,Stationary engineers and boiler operators,51,1,0.1046511627906976,0.1627906976744186,0.6299305555555555,0.6359166666666666,0.06592296511627901,0.0665494186046511,0.06592296511627901,0.0665494186046511,70510.0,63500.0,1.0,0.1046511627906976,0.6299305555555555,0.6359166666666666,0.06592296511627901,0.0665494186046511
